Month,SGOV_Peak_Date,SGOV_Peak,SGOV_Low_Date,SGOV_Low,SGOV_Drop_%,BIL_Peak_Date,BIL_Peak,BIL_Low_Date,BIL_Low,BIL_Drop_%,SHV_Peak_Date,SHV_Peak,SHV_Low_Date,SHV_Low,SHV_Drop_%,TFLO_Peak_Date,TFLO_Peak,TFLO_Low_Date,TFLO_Low,TFLO_Drop_%,ICSH_Peak_Date,ICSH_Peak,ICSH_Low_Date,ICSH_Low,ICSH_Drop_%
2023-02,2023-02-28,100.43000030517578,2023-03-01,100.16000366210938,-0.269,2023-02-28,91.70999908447266,2023-03-01,91.45999908447266,-0.273,2023-02-28,110.2300033569336,2023-03-01,109.95999908447266,-0.245,2023-02-28,50.560001373291016,2023-03-01,50.400001525878906,-0.316,2023-02-28,50.20000076293945,2023-03-01,50.040000915527344,-0.319
2023-03,2023-03-31,100.58000183105467,2023-04-03,100.2300033569336,-0.348,2023-03-30,91.83999633789062,2023-04-03,91.47000122070312,-0.403,2023-03-31,110.5,2023-04-03,110.0999984741211,-0.362,2023-03-31,50.59000015258789,2023-04-03,50.41999816894531,-0.336,2023-03-31,50.25,2023-04-03,50.09999847412109,-0.299
2023-04,2023-04-28,100.55999755859376,2023-05-01,100.18000030517578,-0.378,2023-04-28,91.77999877929688,2023-05-02,91.41000366210938,-0.403,2023-04-28,110.4499969482422,2023-05-01,110.04000091552734,-0.371,2023-04-28,50.630001068115234,2023-05-01,50.43999862670898,-0.375,2023-04-28,50.31999969482422,2023-05-01,50.13999938964844,-0.358
2023-05,2023-05-31,100.58999633789062,2023-06-01,100.2300033569336,-0.358,2023-05-31,91.7699966430664,2023-06-01,91.4499969482422,-0.349,2023-05-31,110.41000366210938,2023-06-01,110.0,-0.371,2023-05-31,50.650001525878906,2023-06-01,50.459999084472656,-0.375,2023-05-31,50.310001373291016,2023-06-02,50.08000183105469,-0.457
2023-06,2023-06-30,100.62999725341795,2023-07-03,100.26000213623048,-0.368,2023-06-30,91.81999969482422,2023-07-03,91.47000122070312,-0.381,2023-06-30,110.4499969482422,2023-07-03,110.01000213623048,-0.398,2023-06-30,50.66999816894531,2023-07-05,50.459999084472656,-0.414,2023-06-30,50.29999923706055,2023-07-05,50.09999847412109,-0.398
2023-07,2023-07-31,100.62000274658205,2023-08-01,100.1999969482422,-0.417,2023-07-31,91.8000030517578,2023-08-01,91.43000030517578,-0.403,2023-07-31,110.44000244140624,2023-08-01,109.98999786376952,-0.407,2023-07-31,50.66999816894531,2023-08-01,50.52000045776367,-0.296,2023-07-31,50.34999847412109,2023-08-01,50.130001068115234,-0.437
2023-08,2023-08-31,100.66999816894533,2023-09-01,100.2699966430664,-0.397,2023-08-31,91.86000061035156,2023-09-01,91.47000122070312,-0.425,2023-08-31,110.5,2023-09-01,110.06999969482422,-0.389,2023-08-31,50.7400016784668,2023-09-01,50.52999877929688,-0.414,2023-08-31,50.38999938964844,2023-09-01,50.16999816894531,-0.437
2023-09,2023-09-29,100.66999816894533,2023-10-02,100.2699966430664,-0.397,2023-09-29,91.81999969482422,2023-10-02,91.44000244140624,-0.414,2023-09-29,110.47000122070312,2023-10-02,110.02999877929688,-0.398,2023-09-29,50.7400016784668,2023-10-02,50.52000045776367,-0.434,2023-09-29,50.380001068115234,2023-10-02,50.18000030517578,-0.397
2023-10,2023-10-31,100.6999969482422,2023-11-01,100.29000091552734,-0.407,2023-10-31,91.81999969482422,2023-11-01,91.44000244140624,-0.414,2023-10-31,110.5,2023-11-01,110.06999969482422,-0.389,2023-10-31,50.75,2023-11-01,50.540000915527344,-0.414,2023-10-31,50.400001525878906,2023-11-01,50.20000076293945,-0.397
2023-11,2023-11-30,100.7300033569336,2023-12-01,100.31999969482422,-0.407,2023-11-30,91.83999633789062,2023-12-01,91.44000244140624,-0.436,2023-11-30,110.58999633789062,2023-12-01,110.13999938964844,-0.407,2023-11-30,50.75,2023-12-01,50.52000045776367,-0.453,2023-11-30,50.47999954223633,2023-12-04,50.29999923706055,-0.357
2023-12,2023-12-29,100.2699966430664,2024-01-01,100.2699966430664,0.0,2023-12-29,91.38999938964844,2024-01-01,91.38999938964844,0.0,2023-12-29,110.12999725341795,2024-01-02,110.12000274658205,-0.009,2023-12-29,50.470001220703125,2024-01-01,50.470001220703125,0.0,2023-12-29,50.36000061035156,2024-01-01,50.36000061035156,0.0
2024-01,2024-01-31,100.70999908447266,2024-02-01,100.30999755859376,-0.397,2024-01-31,91.77999877929688,2024-02-01,91.41999816894533,-0.392,2024-01-31,110.56999969482422,2024-02-02,110.13999938964844,-0.389,2024-01-31,50.70000076293945,2024-02-01,50.470001220703125,-0.454,2024-01-31,50.59999847412109,2024-02-02,50.38999938964844,-0.415
2024-02,2024-02-29,100.6999969482422,2024-03-01,100.31999969482422,-0.377,2024-02-29,91.77999877929688,2024-03-01,91.4499969482422,-0.36,2024-02-29,110.52999877929688,2024-03-01,110.11000061035156,-0.38,2024-02-29,50.70000076293945,2024-03-01,50.5,-0.394,2024-02-29,50.54999923706055,2024-03-01,50.34999847412109,-0.396
2024-03,2024-03-29,100.70999908447266,2024-04-01,100.29000091552734,-0.417,2024-03-29,91.8000030517578,2024-04-01,91.41999816894533,-0.414,2024-03-29,110.54000091552734,2024-04-01,110.06999969482422,-0.425,2024-03-29,50.68999862670898,2024-04-01,50.43999862670898,-0.493,2024-03-29,50.560001373291016,2024-04-01,50.33000183105469,-0.455
2024-04,2024-04-30,100.6999969482422,2024-05-01,100.30999755859376,-0.387,2024-04-30,91.79000091552734,2024-05-01,91.41999816894533,-0.403,2024-04-30,110.47000122070312,2024-05-01,110.04000091552734,-0.389,2024-04-30,50.68000030517578,2024-05-01,50.47999954223633,-0.395,2024-04-30,50.5,2024-05-01,50.31999969482422,-0.356
2024-05,2024-05-31,100.75,2024-06-03,100.33000183105467,-0.417,2024-05-31,91.81999969482422,2024-06-03,91.43000030517578,-0.425,2024-05-31,110.51000213623048,2024-06-03,110.05999755859376,-0.407,2024-05-31,50.70000076293945,2024-06-04,50.47999954223633,-0.434,2024-05-31,50.54999923706055,2024-06-03,50.34999847412109,-0.396
2024-06,2024-06-28,100.70999908447266,2024-07-01,100.30999755859376,-0.397,2024-06-28,91.77999877929688,2024-07-01,91.41999816894533,-0.392,2024-06-28,110.5,2024-07-01,110.0500030517578,-0.407,2024-06-28,50.65999984741211,2024-07-01,50.459999084472656,-0.395,2024-06-28,50.52999877929688,2024-07-01,50.31999969482422,-0.416
2024-07,2024-07-31,100.72000122070312,2024-08-01,100.3000030517578,-0.417,2024-07-31,91.8000030517578,2024-08-01,91.41999816894533,-0.414,2024-07-31,110.54000091552734,2024-08-01,110.08000183105467,-0.416,2024-07-30,50.65999984741211,2024-08-02,50.41999816894531,-0.474,2024-07-31,50.63999938964844,2024-08-01,50.43000030517578,-0.415
2024-08,2024-08-30,100.73999786376952,2024-09-03,100.33999633789062,-0.397,2024-08-30,91.81999969482422,2024-09-03,91.45999908447266,-0.392,2024-08-30,110.5999984741211,2024-09-03,110.16000366210938,-0.398,2024-08-30,50.630001068115234,2024-09-03,50.43000030517578,-0.395,2024-08-30,50.709999084472656,2024-09-03,50.5099983215332,-0.394
2024-09,2024-09-30,100.72000122070312,2024-10-01,100.33000183105467,-0.387,2024-09-30,91.80999755859376,2024-10-01,91.45999908447266,-0.381,2024-09-30,110.62999725341795,2024-10-01,110.1999969482422,-0.389,2024-09-30,50.59999847412109,2024-10-01,50.40999984741211,-0.375,2024-09-27,50.75,2024-10-01,50.540000915527344,-0.414
2024-10,2024-10-31,100.6999969482422,2024-11-01,100.33999633789062,-0.357,2024-10-31,91.8000030517578,2024-11-01,91.4800033569336,-0.349,2024-10-31,110.56999969482422,2024-11-01,110.1500015258789,-0.38,2024-10-31,50.61000061035156,2024-11-01,50.43000030517578,-0.356,2024-10-31,50.68000030517578,2024-11-01,50.47999954223633,-0.395
2024-11,2024-11-29,100.68000030517578,2024-12-02,100.31999969482422,-0.358,2024-11-29,91.77999877929688,2024-12-02,91.47000122070312,-0.338,2024-11-29,110.51000213623048,2024-12-02,110.11000061035156,-0.362,2024-11-29,50.630001068115234,2024-12-02,50.459999084472656,-0.336,2024-11-29,50.650001525878906,2024-12-03,50.45000076293945,-0.395
2024-12,2024-12-31,100.31999969482422,2025-01-01,100.31999969482422,0.0,2024-12-31,91.43000030517578,2025-01-01,91.43000030517578,0.0,2024-12-31,110.11000061035156,2025-01-01,110.11000061035156,0.0,2024-12-31,50.470001220703125,2025-01-01,50.470001220703125,0.0,2024-12-31,50.43000030517578,2025-01-01,50.43000030517578,0.0
2025-01,2025-01-31,100.68000030517578,2025-02-03,100.33999633789062,-0.338,2025-01-31,91.75,2025-02-03,91.4499969482422,-0.327,2025-01-31,110.51000213623048,2025-02-03,110.12000274658205,-0.353,2025-01-31,50.68000030517578,2025-02-03,50.5099983215332,-0.335,2025-01-31,50.650001525878906,2025-02-03,50.470001220703125,-0.355
2025-02,2025-02-28,100.6500015258789,2025-03-03,100.36000061035156,-0.288,2025-02-28,91.72000122070312,2025-03-03,91.4499969482422,-0.294,2025-02-28,110.4499969482422,2025-03-03,110.11000061035156,-0.308,2025-02-28,50.66999816894531,2025-03-03,50.5099983215332,-0.316,2025-02-28,50.68000030517578,2025-03-03,50.5099983215332,-0.335
2025-03,2025-03-31,100.66999816894533,2025-04-01,100.3499984741211,-0.318,2025-03-31,91.7300033569336,2025-04-01,91.43000030517578,-0.327,2025-03-31,110.45999908447266,2025-04-01,110.0999984741211,-0.326,2025-03-31,50.65999984741211,2025-04-02,50.47999954223633,-0.355,2025-03-31,50.70000076293945,2025-04-02,50.5,-0.394
2025-04,2025-04-30,100.69000244140624,2025-05-01,100.37000274658205,-0.318,2025-04-30,91.72000122070312,2025-05-01,91.43000030517578,-0.316,2025-04-30,110.45999908447266,2025-05-01,110.0999984741211,-0.326,2025-04-29,50.63999938964844,2025-05-01,50.470001220703125,-0.336,2025-04-30,50.68999862670898,2025-05-01,50.5,-0.375
2025-05,2025-05-30,100.70999908447266,2025-06-02,100.37999725341795,-0.328,2025-05-30,91.73999786376952,2025-06-02,91.44000244140624,-0.327,2025-05-30,110.44000244140624,2025-06-02,110.05999755859376,-0.344,2025-05-30,50.65999984741211,2025-06-02,50.47999954223633,-0.355,2025-05-30,50.66999816894531,2025-06-02,50.47999954223633,-0.375
